Id,Label,timeset,componentnumber,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,modularity_class,clustering,triangles
151412786,151412786,,10354,0,0,0,0,0,0,0,0,0
151412812,151412812,,10355,0,0,0,0,0,0,0,0,0
151412811,151412811,,10355,0,0,0,0,0,0,0,0,0
151412813,151412813,,10355,0,0,0,0,0,0,0,0,0
151412814,151412814,,10355,0,0,0,0,0,0,0,0,0
151412822,151412822,,10356,0,0,0,0,0,0,0,0,0
151412821,151412821,,10356,0,0,0,0,0,0,0,0,0
151412832,151412832,,10357,0,0,0,0,0,0,0,0,0
151412831,151412831,,10357,0,0,0,0,0,0,0,0,0
151412833,151412833,,10357,0,0,0,0,0,0,0,0,0
151412838,151412838,,0,2,42,0.059859,0.063444,0,0.000025,132,1,1
151412862,151412862,,5436,0,0,0,0,0,0,0,0,0
151412861,151412861,,5436,0,0,0,0,0,0,0,0,0
151412867,151412867,,10358,0,0,0,0,0,0,0,0,0
151412866,151412866,,10358,0,0,0,0,0,0,0,0,0
151412877,151412877,,10359,0,0,0,0,0,0,0,0,0
151412876,151412876,,10359,0,0,0,0,0,0,0,0,0
151412878,151412878,,10359,0,0,0,0,0,0,0,0,0
151412879,151412879,,10359,0,0,0,0,0,0,0,0,0
151412911,151412911,,0,1,46,0.047623,0.049371,0,0.000014,21,0,0
151381112,151381112,,0,2,44,0.052631,0.054953,0,0.000027,21,1,1
151381114,151381114,,0,4,43,0.055552,0.058319,417410,0.000056,21,0.166667,1
151412922,151412922,,10360,0,0,0,0,0,0,0,0,0
151412921,151412921,,10360,0,0,0,0,0,0,0,0,0
151412927,151412927,,10361,0,0,0,0,0,0,0,0,0
151412926,151412926,,10361,0,0,0,0,0,0,0,0,0
151412937,151412937,,10362,0,0,0,0,0,0,0,0,0
151412936,151412936,,10362,0,0,0,0,0,0,0,0,0
151413002,151413002,,10363,0,0,0,0,0,0,0,0,0
151413001,151413001,,10363,0,0,0,0,0,0,0,0,0
151413003,151413003,,10363,0,0,0,0,0,0,0,0,0
151413004,151413004,,10363,0,0,0,0,0,0,0,0,0
151413019,151413019,,0,2,40,0.06235,0.066905,0,0.000021,0,1,1
151413022,151413022,,10364,0,0,0,0,0,0,0,0,0
151413021,151413021,,10364,0,0,0,0,0,0,0,0,0
151413023,151413023,,10364,0,0,0,0,0,0,0,0,0
151413027,151413027,,10365,0,0,0,0,0,0,0,0,0
151413026,151413026,,10365,0,0,0,0,0,0,0,0,0
151413052,151413052,,10366,0,0,0,0,0,0,0,0,0
151413051,151413051,,10366,0,0,0,0,0,0,0,0,0
151413053,151413053,,10366,0,0,0,0,0,0,0,0,0
151413054,151413054,,10366,0,0,0,0,0,0,0,0,0
151413077,151413077,,10367,0,0,0,0,0,0,0,0,0
151413076,151413076,,10367,0,0,0,0,0,0,0,0,0
151413097,151413097,,10368,0,0,0,0,0,0,0,0,0
151413096,151413096,,10368,0,0,0,0,0,0,0,0,0
151413107,151413107,,10369,0,0,0,0,0,0,0,0,0
151413106,151413106,,10369,0,0,0,0,0,0,0,0,0
151413112,151413112,,10370,0,0,0,0,0,0,0,0,0
151413111,151413111,,10370,0,0,0,0,0,0,0,0,0
151413113,151413113,,10370,0,0,0,0,0,0,0,0,0
151413118,151413118,,0,1,44,0.057033,0.060209,0,0.000015,100,0,0
151413172,151413172,,10371,0,0,0,0,0,0,0,0,0
151413171,151413171,,10371,0,0,0,0,0,0,0,0,0
151413192,151413192,,10372,0,0,0,0,0,0,0,0,0
151413191,151413191,,10372,0,0,0,0,0,0,0,0,0
151413197,151413197,,10373,0,0,0,0,0,0,0,0,0
151413196,151413196,,10373,0,0,0,0,0,0,0,0,0
151413212,151413212,,10374,0,0,0,0,0,0,0,0,0
151413211,151413211,,10374,0,0,0,0,0,0,0,0,0
151413222,151413222,,0,2,42,0.052498,0.054922,21986,0.000045,5,0,0
151413223,151413223,,0,1,43,0.04988,0.051887,0,0.000026,5,0,0
151413242,151413242,,10375,0,0,0,0,0,0,0,0,0
151413241,151413241,,10375,0,0,0,0,0,0,0,0,0
151413243,151413243,,10375,0,0,0,0,0,0,0,0,0
151413262,151413262,,10376,0,0,0,0,0,0,0,0,0
151413261,151413261,,10376,0,0,0,0,0,0,0,0,0
151413263,151413263,,10376,0,0,0,0,0,0,0,0,0
151413287,151413287,,10377,0,0,0,0,0,0,0,0,0
151413286,151413286,,10377,0,0,0,0,0,0,0,0,0
151413297,151413297,,0,3,44,0.057441,0.061092,0,0.000037,56,1,3
151413296,151413296,,0,3,44,0.057441,0.061092,0,0.000037,56,1,3
151413299,151413299,,0,3,44,0.057441,0.061092,0,0.000037,56,1,3
151413303,151413303,,3377,0,0,0,0,0,0,0,0,0
151413304,151413304,,3377,0,0,0,0,0,0,0,0,0
151413312,151413312,,10378,0,0,0,0,0,0,0,0,0
151413311,151413311,,10378,0,0,0,0,0,0,0,0,0
151410399,151410399,,1456,0,0,0,0,0,0,0,0,0
151413407,151413407,,10379,0,0,0,0,0,0,0,0,0
151413406,151413406,,10379,0,0,0,0,0,0,0,0,0
151413422,151413422,,10380,0,0,0,0,0,0,0,0,0
151401528,151401528,,10380,0,0,0,0,0,0,0,0,0
151413453,151413453,,0,1,43,0.064598,0.069468,0,0.000013,104,0,0
151413483,151413483,,0,1,42,0.062055,0.066172,0,0.000018,112,0,0
151413492,151413492,,10381,0,0,0,0,0,0,0,0,0
151413491,151413491,,10381,0,0,0,0,0,0,0,0,0
151413493,151413493,,10381,0,0,0,0,0,0,0,0,0
